Name,Input List,Start Frame,End Frame,Area AVG,Area STD,RDF Peak,Coordination at Minimum,RG AVG,RG STD,Run 1,Run 2
polymer39,"[(1, 'S4'), (2, 'E4'), (3, 'S8'), (4, 'S0'), (5, 'S1'), (6, 'E7'), (7, 'E2'), (8, 'E3'), (9, 'E5'), (10, 'E9'), (11, 'S9'), (12, 'S8'), (13, 'S1'), (14, 'S6'), (15, 'E6')]",830,899,13519.97,391.63,1.86,4.15,17.51,0.15,900,-
polymer40,"[(1, 'E2'), (2, 'E0'), (3, 'E4'), (4, 'S5'), (5, 'E4'), (6, 'S9'), (7, 'S3'), (8, 'E1'), (9, 'E0'), (10, 'E9'), (11, 'S1'), (12, 'S2'), (13, 'E7'), (14, 'S5'), (15, 'E3'), (16, 'E6'), (17, 'E8'), (18, 'S4'), (19, 'S8'), (20, 'S7')]",830,899,15994.95,329.48,1.84,4.08,19.34,0.25,900,-
polymer48,"[(1, 'E0'), (2, 'S9'), (3, 'S6'), (4, 'S6'), (5, 'S4'), (6, 'E7'), (7, 'E6'), (8, 'S9'), (9, 'S9'), (10, 'S7'), (11, 'S9'), (12, 'S4'), (13, 'S9'), (14, 'S1'), (15, 'S8'), (16, 'E0'), (17, 'S6'), (18, 'S2')]",783,852,17289.84,251.38,1.71,3.93,20.55,0.11,853,-
polymer49,"[(1, 'S6'), (2, 'E5'), (3, 'E4'), (4, 'E2'), (5, 'S8'), (6, 'E7'), (7, 'E7'), (8, 'S5'), (9, 'E6'), (10, 'E2'), (11, 'S1'), (12, 'E8'), (13, 'E0'), (14, 'E2'), (15, 'S0'), (16, 'E4'), (17, 'S7'), (18, 'S7'), (19, 'S7')]",652,721,13702.83,329.23,1.65,3.68,18.64,0.10,722,-
polymer51,"[(1, 'S8'), (2, 'S4'), (3, 'E1'), (4, 'S3'), (5, 'E3'), (6, 'E5'), (7, 'S3'), (8, 'S8'), (9, 'S7'), (10, 'E5'), (11, 'S1'), (12, 'E1'), (13, 'E1'), (14, 'E4')]",416,485,11495.75,283.18,1.67,3.78,17.01,0.14,-,486
polymer52,"[(1, 'S0'), (2, 'E5'), (3, 'E9'), (4, 'E0'), (5, 'E0'), (6, 'S4'), (7, 'S0'), (8, 'S1'), (9, 'E9'), (10, 'S3'), (11, 'S2'), (12, 'E4'), (13, 'S0'), (14, 'E5')]",830,899,7531.83,314.48,1.91,4.13,15.15,0.17,900,-
polymer53,"[(1, 'S8'), (2, 'E7'), (3, 'E2'), (4, 'S2'), (5, 'E9'), (6, 'S2'), (7, 'S3'), (8, 'E6'), (9, 'E9'), (10, 'E8'), (11, 'E9'), (12, 'E9'), (13, 'E5'), (14, 'S0'), (15, 'S3'), (16, 'E3')]",814,883,12658.28,352.59,1.83,3.82,16.81,0.12,884,-
polymer54,"[(1, 'S9'), (2, 'E3'), (3, 'S4'), (4, 'S8'), (5, 'S0'), (6, 'E6'), (7, 'S1'), (8, 'S4'), (9, 'E2'), (10, 'S6'), (11, 'S7'), (12, 'S7'), (13, 'E3'), (14, 'E3'), (15, 'E1')]",792,861,12169.48,235.81,1.29,3.07,18.39,0.12,862,-
polymerP1,"[(1, 'S1'), (2, 'E0'), (3, 'S1'), (4, 'S6'), (5, 'S1'), (6, 'S7'), (7, 'E5'), (8, 'S1'), (9, 'S7'), (10, 'E5'), (11, 'S7'), (12, 'S1'), (13, 'S1'), (14, 'S2')]",830,899,10057.88,213.89,1.41,3.54,16.19,0.16,-,900
polymerP2,"[(1, 'S1'), (2, 'S5'), (3, 'E7'), (4, 'E0'), (5, 'S8'), (6, 'E0'), (7, 'S8'), (8, 'E2'), (9, 'E7'), (10, 'E1'), (11, 'S1'), (12, 'E8'), (13, 'S2'), (14, 'S6'), (15, 'E9'), (16, 'S6'), (17, 'E7'), (18, 'S3'), (19, 'S0'), (20, 'E8')]",544,613,15551.18,413.84,1.85,4.24,18.55,0.10,614,-
